"","ID","Timepoint","Prediction","Bootstrap","Jackknife"
"1","User #25304","Timepoint 1",0,20,44
"2","User #25304","Timepoint 2",0,20,44
"3","User #25304","Timepoint 3",0,20,44
"4","User #25304","Timepoint 4",0,20,44
"5","User #25304","Timepoint 5",0,20,44
"6","User #25304","Timepoint 6",0,20,44
"7","User #25304","Timepoint 7",0,20,44
"8","User #25304","Timepoint 8",0,20,44
"9","User #25304","Timepoint 9",0,20,44
"10","User #25304","Timepoint 10",0,20,44
"11","User #25304","Timepoint 11",0,20,44
"12","User #25304","Timepoint 12",0,20,44
"13","User #25304","Timepoint 13",0,20,44
"14","User #25304","Timepoint 14",0,20,44
"15","User #25304","Timepoint 15",0,20,44
"16","User #25304","Timepoint 16",0,20,44
"17","User #25304","Timepoint 17",NA,20,44
"18","User #25304","Timepoint 18",NA,20,44
"19","User #25304","Timepoint 19",NA,20,44
"20","User #25304","Timepoint 20",NA,20,44
"21","User #25304","Timepoint 21",NA,20,44
"22","User #25304","Timepoint 22",NA,20,44
"23","User #25304","Timepoint 23",NA,20,44
"24","User #25304","Timepoint 24",NA,20,44
"25","User #25304","Timepoint 25",NA,20,44
"26","User #25304","Timepoint 26",NA,20,44
"27","User #25304","Timepoint 27",NA,20,44
"28","User #25304","Timepoint 28",NA,20,44
"29","User #25304","Timepoint 29",NA,20,44
"30","User #25304","Timepoint 30",NA,20,44
"31","User #25304","Timepoint 31",NA,20,44
"32","User #25304","Timepoint 32",NA,20,44
"33","User #25304","Timepoint 33",NA,20,44
"34","User #25304","Timepoint 34",NA,20,44
"35","User #25304","Timepoint 35",NA,20,44
"36","User #25304","Timepoint 36",NA,20,44
"37","User #25304","Timepoint 37",NA,20,44
"38","User #25304","Timepoint 38",NA,20,44
"39","User #25304","Timepoint 39",NA,20,44
"40","User #25304","Timepoint 40",NA,20,44
"41","User #25304","Timepoint 41",7.39544174075127,20,44
"42","User #25304","Timepoint 42",7.44994303584099,20,44
"43","User #25304","Timepoint 43",7.4095207452774,20,44
"44","User #25304","Timepoint 44",7.39461490511894,20,44
"45","User #25304","Timepoint 45",7.42080846428871,20,44
"46","User #25304","Timepoint 46",7.44086509943008,20,44
"47","User #25304","Timepoint 47",7.47579818964005,20,44
"48","User #25304","Timepoint 48",7.43652257323265,20,44
"49","User #25304","Timepoint 49",7.74629175662994,20,44
"50","User #25304","Timepoint 50",7.90881967544556,20,44
"51","User #25304","Timepoint 51",7.7371229827404,20,44
"52","User #25304","Timepoint 52",7.65673923492432,20,44
"53","User #25304","Timepoint 53",7.76283472776413,20,44
"54","User #25304","Timepoint 54",7.87736934423447,20,44
"55","User #25304","Timepoint 55",8.03853577375412,20,44
"56","User #25304","Timepoint 56",7.94688495993614,20,44
"57","User #25304","Timepoint 57",7.85297760367393,20,44
"58","User #25304","Timepoint 58",8.02754792571068,20,44
"59","User #25304","Timepoint 59",7.87609976530075,20,44
"60","User #25304","Timepoint 60",7.79431483149529,20,44
"61","User #25304","Timepoint 61",7.8946181833744,20,44
"62","User #25304","Timepoint 62",8.00399661064148,20,44
"63","User #25304","Timepoint 63",8.15190362930298,20,44
"64","User #25304","Timepoint 64",8.04689309000969,20,44
"65","User #25318","Timepoint 1",0,20,44
"66","User #25318","Timepoint 2",0,20,44
"67","User #25318","Timepoint 3",0,20,44
"68","User #25318","Timepoint 4",0,20,44
"69","User #25318","Timepoint 5",0,20,44
"70","User #25318","Timepoint 6",0,20,44
"71","User #25318","Timepoint 7",0,20,44
"72","User #25318","Timepoint 8",0,20,44
"73","User #25318","Timepoint 9",0,20,44
"74","User #25318","Timepoint 10",0,20,44
"75","User #25318","Timepoint 11",0,20,44
"76","User #25318","Timepoint 12",0,20,44
"77","User #25318","Timepoint 13",0,20,44
"78","User #25318","Timepoint 14",0,20,44
"79","User #25318","Timepoint 15",0,20,44
"80","User #25318","Timepoint 16",0,20,44
"81","User #25318","Timepoint 17",NA,20,44
"82","User #25318","Timepoint 18",NA,20,44
"83","User #25318","Timepoint 19",NA,20,44
"84","User #25318","Timepoint 20",NA,20,44
"85","User #25318","Timepoint 21",NA,20,44
"86","User #25318","Timepoint 22",NA,20,44
"87","User #25318","Timepoint 23",NA,20,44
"88","User #25318","Timepoint 24",NA,20,44
"89","User #25318","Timepoint 25",NA,20,44
"90","User #25318","Timepoint 26",NA,20,44
"91","User #25318","Timepoint 27",NA,20,44
"92","User #25318","Timepoint 28",NA,20,44
"93","User #25318","Timepoint 29",NA,20,44
"94","User #25318","Timepoint 30",NA,20,44
"95","User #25318","Timepoint 31",NA,20,44
"96","User #25318","Timepoint 32",NA,20,44
"97","User #25318","Timepoint 33",NA,20,44
"98","User #25318","Timepoint 34",NA,20,44
"99","User #25318","Timepoint 35",NA,20,44
"100","User #25318","Timepoint 36",NA,20,44
"101","User #25318","Timepoint 37",NA,20,44
"102","User #25318","Timepoint 38",NA,20,44
"103","User #25318","Timepoint 39",NA,20,44
"104","User #25318","Timepoint 40",NA,20,44
"105","User #25318","Timepoint 41",7.76153832674026,20,44
"106","User #25318","Timepoint 42",7.95178610086441,20,44
"107","User #25318","Timepoint 43",7.95451641082764,20,44
"108","User #25318","Timepoint 44",7.7571462392807,20,44
"109","User #25318","Timepoint 45",7.84631580114365,20,44
"110","User #25318","Timepoint 46",8.00182700157166,20,44
"111","User #25318","Timepoint 47",8.05158650875092,20,44
"112","User #25318","Timepoint 48",7.97616982460022,20,44
"113","User #25318","Timepoint 49",7.68683648109436,20,44
"114","User #25318","Timepoint 50",7.87181377410889,20,44
"115","User #25318","Timepoint 51",7.79282593727112,20,44
"116","User #25318","Timepoint 52",7.66182559728622,20,44
"117","User #25318","Timepoint 53",7.78495609760284,20,44
"118","User #25318","Timepoint 54",7.82451319694519,20,44
"119","User #25318","Timepoint 55",7.87821584939957,20,44
"120","User #25318","Timepoint 56",7.88347339630127,20,44
"121","User #25318","Timepoint 57",7.6369931101799,20,44
"122","User #25318","Timepoint 58",7.80529713630676,20,44
"123","User #25318","Timepoint 59",7.70239651203156,20,44
"124","User #25318","Timepoint 60",7.5751251578331,20,44
"125","User #25318","Timepoint 61",7.70063543319702,20,44
"126","User #25318","Timepoint 62",7.73846006393433,20,44
"127","User #25318","Timepoint 63",7.80504107475281,20,44
"128","User #25318","Timepoint 64",7.84192353487015,20,44
"129","User #25378","Timepoint 1",0,20,44
"130","User #25378","Timepoint 2",0,20,44
"131","User #25378","Timepoint 3",0,20,44
"132","User #25378","Timepoint 4",0,20,44
"133","User #25378","Timepoint 5",0,20,44
"134","User #25378","Timepoint 6",0,20,44
"135","User #25378","Timepoint 7",0,20,44
"136","User #25378","Timepoint 8",0,20,44
"137","User #25378","Timepoint 9",0,20,44
"138","User #25378","Timepoint 10",0,20,44
"139","User #25378","Timepoint 11",0,20,44
"140","User #25378","Timepoint 12",0,20,44
"141","User #25378","Timepoint 13",0,20,44
"142","User #25378","Timepoint 14",0,20,44
"143","User #25378","Timepoint 15",0,20,44
"144","User #25378","Timepoint 16",0,20,44
"145","User #25378","Timepoint 17",NA,20,44
"146","User #25378","Timepoint 18",NA,20,44
"147","User #25378","Timepoint 19",NA,20,44
"148","User #25378","Timepoint 20",NA,20,44
"149","User #25378","Timepoint 21",NA,20,44
"150","User #25378","Timepoint 22",NA,20,44
"151","User #25378","Timepoint 23",NA,20,44
"152","User #25378","Timepoint 24",NA,20,44
