"","ID","Timepoint","L2_SE"
"1","User #25292","Timepoint 1",0
"2","User #25292","Timepoint 10",0
"3","User #25292","Timepoint 11",0
"4","User #25292","Timepoint 12",0
"5","User #25292","Timepoint 13",0
"6","User #25292","Timepoint 14",0
"7","User #25292","Timepoint 15",0
"8","User #25292","Timepoint 16",0
"9","User #25292","Timepoint 17",1.22110921895894
"10","User #25292","Timepoint 18",1.52597255996966
"11","User #25292","Timepoint 19",1.40373463035068
"12","User #25292","Timepoint 2",0
"13","User #25292","Timepoint 20",1.36367749148463
"14","User #25292","Timepoint 21",2.14605123092145
"15","User #25292","Timepoint 22",2.13735415731981
"16","User #25292","Timepoint 23",1.47298077164053
"17","User #25292","Timepoint 24",1.37045268733524
"18","User #25292","Timepoint 25",1.44414868489069
"19","User #25292","Timepoint 26",1.41022354095615
"20","User #25292","Timepoint 27",1.4710352882694
"21","User #25292","Timepoint 28",1.5751527606306
"22","User #25292","Timepoint 29",1.29118809655299
"23","User #25292","Timepoint 3",0
"24","User #25292","Timepoint 30",1.4049453402075
"25","User #25292","Timepoint 31",1.43634894951378
"26","User #25292","Timepoint 32",1.6264161253531
"27","User #25292","Timepoint 33",1.82395682325913
"28","User #25292","Timepoint 34",1.68543706479264
"29","User #25292","Timepoint 35",1.50352429866082
"30","User #25292","Timepoint 36",1.45644221943388
"31","User #25292","Timepoint 37",1.75309105849424
"32","User #25292","Timepoint 38",1.54869195897545
"33","User #25292","Timepoint 39",1.2646551152616
"34","User #25292","Timepoint 4",0
"35","User #25292","Timepoint 40",1.13578157609763
"36","User #25292","Timepoint 41",2.1750218806437
"37","User #25292","Timepoint 42",1.32469101245838
"38","User #25292","Timepoint 43",1.2133363302968
"39","User #25292","Timepoint 44",1.12197961036342
"40","User #25292","Timepoint 45",1.47089087388012
"41","User #25292","Timepoint 46",1.8219057149952
"42","User #25292","Timepoint 47",1.35129356893612
"43","User #25292","Timepoint 48",1.25337607954402
"44","User #25292","Timepoint 49",1.30988418358973
"45","User #25292","Timepoint 5",0
"46","User #25292","Timepoint 50",1.38746506098539
"47","User #25292","Timepoint 51",1.26874143953814
"48","User #25292","Timepoint 52",1.29966867546587
"49","User #25292","Timepoint 53",1.5748469005115
"50","User #25292","Timepoint 54",1.50204866995879
"51","User #25292","Timepoint 55",1.76950664744564
"52","User #25292","Timepoint 56",1.3177438298167
"53","User #25292","Timepoint 57",1.44066192963047
"54","User #25292","Timepoint 58",1.62221320117635
"55","User #25292","Timepoint 59",1.49472220496537
"56","User #25292","Timepoint 6",0
"57","User #25292","Timepoint 60",1.48183649971126
"58","User #25292","Timepoint 61",2.0486444890171
"59","User #25292","Timepoint 62",2.05981704778442
"60","User #25292","Timepoint 63",1.86228995396426
"61","User #25292","Timepoint 64",1.45858123778372
"62","User #25292","Timepoint 7",0
"63","User #25292","Timepoint 8",0
"64","User #25292","Timepoint 9",0
"65","User #25297","Timepoint 1",0
"66","User #25297","Timepoint 10",0
"67","User #25297","Timepoint 11",0
"68","User #25297","Timepoint 12",0
"69","User #25297","Timepoint 13",0
"70","User #25297","Timepoint 14",0
"71","User #25297","Timepoint 15",0
"72","User #25297","Timepoint 16",0
"73","User #25297","Timepoint 17",1.68316708956784
"74","User #25297","Timepoint 18",1.8694283230901
"75","User #25297","Timepoint 19",1.80427287723136
"76","User #25297","Timepoint 2",0
"77","User #25297","Timepoint 20",1.90052375070533
"78","User #25297","Timepoint 21",1.88340665823794
"79","User #25297","Timepoint 22",1.78071093788339
"80","User #25297","Timepoint 23",1.95025202358654
"81","User #25297","Timepoint 24",1.95725774729889
"82","User #25297","Timepoint 25",1.75251262518597
"83","User #25297","Timepoint 26",1.71082721258626
"84","User #25297","Timepoint 27",1.68376295661548
"85","User #25297","Timepoint 28",1.8792983165951
"86","User #25297","Timepoint 29",1.71908568569718
"87","User #25297","Timepoint 3",0
"88","User #25297","Timepoint 30",1.7019750739439
"89","User #25297","Timepoint 31",1.66902283054143
"90","User #25297","Timepoint 32",1.60206491244828
"91","User #25297","Timepoint 33",1.64623445488188
"92","User #25297","Timepoint 34",1.57880079680859
"93","User #25297","Timepoint 35",1.57419666150282
"94","User #25297","Timepoint 36",1.86973283153342
"95","User #25297","Timepoint 37",1.66092362146106
"96","User #25297","Timepoint 38",1.81372185866963
"97","User #25297","Timepoint 39",1.6793606368693
"98","User #25297","Timepoint 4",0
"99","User #25297","Timepoint 40",1.57312366668408
"100","User #25297","Timepoint 41",1.71410680277099
"101","User #25297","Timepoint 42",1.60994192360367
"102","User #25297","Timepoint 43",1.68772580979894
"103","User #25297","Timepoint 44",1.71963685406241
"104","User #25297","Timepoint 45",1.82425612022398
"105","User #25297","Timepoint 46",2.03298877056273
"106","User #25297","Timepoint 47",1.58346670632982
"107","User #25297","Timepoint 48",1.73408997231782
"108","User #25297","Timepoint 49",1.79446886421906
"109","User #25297","Timepoint 5",0
"110","User #25297","Timepoint 50",1.74911285140713
"111","User #25297","Timepoint 51",1.7230790761993
"112","User #25297","Timepoint 52",1.6670250263254
"113","User #25297","Timepoint 53",1.5626634050208
"114","User #25297","Timepoint 54",1.65263977856916
"115","User #25297","Timepoint 55",1.7964244529501
"116","User #25297","Timepoint 56",1.7016786315186
"117","User #25297","Timepoint 57",1.61919189529219
"118","User #25297","Timepoint 58",1.69074961776518
"119","User #25297","Timepoint 59",1.68457105216839
"120","User #25297","Timepoint 6",0
"121","User #25297","Timepoint 60",1.64844735390984
"122","User #25297","Timepoint 61",1.54082239831843
"123","User #25297","Timepoint 62",1.61783177259603
"124","User #25297","Timepoint 63",1.5589700808528
"125","User #25297","Timepoint 64",1.59094683480289
"126","User #25297","Timepoint 7",0
"127","User #25297","Timepoint 8",0
"128","User #25297","Timepoint 9",0
"129","User #25298","Timepoint 1",0
"130","User #25298","Timepoint 10",0
"131","User #25298","Timepoint 11",0
"132","User #25298","Timepoint 12",0
"133","User #25298","Timepoint 13",0
"134","User #25298","Timepoint 14",0
"135","User #25298","Timepoint 15",0
"136","User #25298","Timepoint 16",0
"137","User #25298","Timepoint 17",1.39478811460686
"138","User #25298","Timepoint 18",1.76886086883115
"139","User #25298","Timepoint 19",1.54172842526793
"140","User #25298","Timepoint 2",0
"141","User #25298","Timepoint 20",1.71389474783994
"142","User #25298","Timepoint 21",3.00711191828362
"143","User #25298","Timepoint 22",2.08809634116246
"144","User #25298","Timepoint 23",2.34456683594102
"145","User #25298","Timepoint 24",1.71848593276656
"146","User #25298","Timepoint 25",1.9133789190795
"147","User #25298","Timepoint 26",1.62171300229268
"148","User #25298","Timepoint 27",1.56022431012676
"149","User #25298","Timepoint 28",2.0061066824558
"150","User #25298","Timepoint 29",1.4695962316667
"151","User #25298","Timepoint 3",0
"152","User #25298","Timepoint 30",1.92511786674999
"153","User #25298","Timepoint 31",2.05983231627753
"154","User #25298","Timepoint 32",1.71293695503116
"155","User #25298","Timepoint 33",1.56563062141672
"156","User #25298","Timepoint 34",2.74045774274263
"157","User #25298","Timepoint 35",1.97792243286304
"158","User #25298","Timepoint 36",2.10445599420311
"159","User #25298","Timepoint 37",1.66334990692879
"160","User #25298","Timepoint 38",1.92047922000013
"161","User #25298","Timepoint 39",1.86438204828881
"162","User #25298","Timepoint 4",0
"163","User #25298","Timepoint 40",1.43112709982592
"164","User #25298","Timepoint 41",1.45676116972686
"165","User #25298","Timepoint 42",1.44484609696066
"166","User #25298","Timepoint 43",1.87158818379352
"167","User #25298","Timepoint 44",1.36986462981758
"168","User #25298","Timepoint 45",1.3665328078822
"169","User #25298","Timepoint 46",1.36880353656139
"170","User #25298","Timepoint 47",1.74706903157033
"171","User #25298","Timepoint 48",1.44940470711654
"172","User #25298","Timepoint 49",1.48298922621639
"173","User #25298","Timepoint 5",0
"174","User #25298","Timepoint 50",1.43874760657436
"175","User #25298","Timepoint 51",1.49392885513565
"176","User #25298","Timepoint 52",1.54568126999304
"177","User #25298","Timepoint 53",1.38932262825611
"178","User #25298","Timepoint 54",1.4199549871656
"179","User #25298","Timepoint 55",1.67343322422018
"180","User #25298","Timepoint 56",1.74797717875664
